Lot ID,Category,Subcategory,Estimate,Has Bid,Current Time,New Time,Status,Details,Rule ID
1704,Buffer zone,Filtration systems,250.00,False,18:21:00,18:03,Updated,Time changed,6
1705,Buffer zone,Bending & folding machines,350.00,True,17:45:00,17:38,Updated,Time changed,6
1706,fallback,Cleaning equipment,,False,18:45:00,16:47,Updated,Time changed,6
1707,Warm-up,Cleaning equipment,150.00,True,14:13:00,14:23,Updated,Time changed,1
1708,Buffer zone,Cutting machines,100.00,False,15:10:00,18:09,Updated,Time changed,6
1709,Other machines & welding,Polishing machines,150.00,False,16:30:00,16:43,Updated,Time changed,3
1710,Warm-up,Installation material,250.00,False,14:06:00,14:08,Updated,Time changed,1
1711,Office & misc.,Computer & tablets,100.00,True,17:00:00,17:04,Updated,Time changed,5
1712,Office & misc.,Computer & tablets,250.00,True,18:29:00,18:43,Updated,Time changed,5
1713,Stock & rolling,Workshop Inventory,350.00,False,17:10:00,17:52,Updated,Time changed,4
1714,Office & misc.,Various metalworking,350.00,True,18:33:00,18:19,Updated,Time changed,5
1715,Stock & rolling,Metal stock,600.00,False,17:59:00,17:21,Updated,Time changed,4
1716,Stock & rolling,Metal stock,2500.00,False,17:04:00,17:43,Updated,Time changed,4
1717,Buffer zone,"Machine parts, tools & accessories",350.00,False,18:44:00,16:04,Updated,Time changed,6
1718,Buffer zone,"Machine parts, tools & accessories",500.00,False,17:38:00,18:32,Updated,Time changed,6
1719,Buffer zone,"Machine parts, tools & accessories",500.00,True,15:39:00,14:42,Updated,Time changed,6
1720,Buffer zone,"Machine parts, tools & accessories",500.00,False,17:59:00,14:02,Updated,Time changed,6
1721,Stock & rolling,Metal stock,2500.00,True,17:21:00,17:27,Updated,Time changed,4
1722,Stock & rolling,Metal stock,2500.00,True,17:50:00,17:29,Updated,Time changed,4
1723,Stock & rolling,Metal stock,2500.00,True,17:23:00,17:49,Updated,Time changed,4
1724,Stock & rolling,Metal stock,2500.00,True,17:09:00,17:25,Updated,Time changed,4
